role,job_title,company,location,experience,salary,skills,posted_date,exp_min,exp_max,exp_avg,min_sal,max_sal,sal_avg_lpa,skills_list,skills_normalized
Data Scientist,Data Scientist,Kanini Software Solutions,"Hybrid - Pune, Chennai, Bengaluru",7-12 Yrs,18-25 Lacs PA (Including Variable: 10.0%),"Tensorflow, Generative Ai, GCP, Numpy, Python, Natural Language Processing, Process, Languages",1 week ago,7.0,12.0,9.5,,,,"['tensorflow', 'generative ai', 'gcp', 'numpy', 'python', 'natural language processing', 'process', 'languages']","tensorflow, generative ai, gcp, numpy, python, natural language processing, process, languages"
Data Scientist,Data Scientist MLOPs,Persistent,"Hybrid - Bengaluru, Mumbai (All Areas)",6-11 Yrs,,"Tensorflow, Apache, Machine Learning, AWS, Python, Data Modeling, Data, Modeling",1 week ago,6.0,11.0,8.5,,,,"['tensorflow', 'apache', 'machine learning', 'aws', 'python', 'data modeling', 'data', 'modeling']","tensorflow, apache, machine learning, aws, python, data modeling, data, modeling"
Data Scientist,Data Scientist,Acesoft,Hybrid - Bengaluru,6-9 Yrs,18-20 Lacs PA,"AI ML, Data Scientist, Machine Learning, Deep Learning, ANN, EDA, ANOVA, Hypothesis Testing",6 days ago,6.0,9.0,7.5,18.0,20.0,19.0,"['ai ml', 'data scientist', 'machine learning', 'deep learning', 'ann', 'eda', 'anova', 'hypothesis testing']","ai ml, data scientist, machine learning, deep learning, ann, eda, anova, hypothesis testing"
Data Scientist,Data Scientist,Acesoft,Hybrid - Bengaluru,6-9 Yrs,17-18 Lacs PA,"Data Science, Hypothesis Testing, Machine Learning, Deep Learning, Python, Pyspark, Natural Language Processing, Statistical Modeling",6 days ago,6.0,9.0,7.5,17.0,18.0,17.5,"['data science', 'hypothesis testing', 'machine learning', 'deep learning', 'python', 'pyspark', 'natural language processing', 'statistical modeling']","data science, hypothesis testing, machine learning, deep learning, python, pyspark, natural language processing, statistical modeling"
Data Scientist,Data Scientist-Agentic AI,"Our Client is a leading global end to end IT transformation, consulting and Service organization",Hybrid - Bengaluru,7-12 Yrs,,"Agentic Ai, Deep Learning, Python, Generative Ai, Natural Language Processing, Machine Learning, Languages, Process",3 days ago,7.0,12.0,9.5,,,,"['agentic ai', 'deep learning', 'python', 'generative ai', 'natural language processing', 'machine learning', 'languages', 'process']","agentic ai, deep learning, python, generative ai, natural language processing, machine learning, languages, process"
Data Scientist,Data Scientist,Valuelabs,Hybrid - Hyderabad,6-11 Yrs,,"Data Science, Generative AI, Aiml, Machine Learning, Python, Artificial Intelligence, Machine, Data",5 days ago,6.0,11.0,8.5,,,,"['data science', 'generative ai', 'aiml', 'machine learning', 'python', 'artificial intelligence', 'machine', 'data']","data science, generative ai, aiml, machine learning, python, artificial intelligence, machine, data"
Data Scientist,Data Scientist,Empowering Talent,"Bengaluru, Mumbai (All Areas)",5-10 Yrs,15-30 Lacs PA,"Data Science, Powerbi, Machine Learning, Python, SQL, Marketing Analytics Domain /Retail/CPG, AWS, Power Bi",6 days ago,5.0,10.0,7.5,15.0,30.0,22.5,"['data science', 'power bi', 'machine learning', 'python', 'sql', 'marketing analytics domain', 'retail', 'cpg', 'aws']","data science, power bi, machine learning, python, sql, marketing analytics domain, retail, cpg, aws"
Data Scientist,Data Scientist,Leading Client,Ahmedabad,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Visakhapatnam,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Nagpur,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Pune,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Coimbatore,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Kochi,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Vadodara,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Gurugram,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Hyderabad,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Mysuru,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Lucknow,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Chennai,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Mumbai,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist,Leading Client,Kolkata,6-10 Yrs,,"Data Science, Big Query, data analysis, NLP, Cloud Functions, AI system performance, test cases, A/B testing",6 days ago,6.0,10.0,8.0,,,,"['data science', 'big query', 'data analysis', 'nlp', 'cloud functions', 'ai system performance', 'test cases', 'a', 'b testing']","data science, big query, data analysis, nlp, cloud functions, ai system performance, test cases, a, b testing"
Data Scientist,Data Scientist - L3,Wipro,Chennai,3-5 Yrs,,"python, machine learning, deep learning, data science, ml, data analytics, natural language processing, neural networks",2 weeks ago,3.0,5.0,4.0,,,,"['python', 'machine learning', 'deep learning', 'data science', 'ml', 'data analytics', 'natural language processing', 'neural networks']","python, machine learning, deep learning, data science, ml, data analytics, natural language processing, neural networks"
Data Scientist,Data Scientist,Appzen,Pune,2-5 Yrs,,"algorithms, python, ml algorithms, data structures, software engineering, continuous integration, kubernetes, rest",6 days ago,2.0,5.0,3.5,,,,"['algorithms', 'python', 'ml algorithms', 'data structures', 'software engineering', 'continuous integration', 'kubernetes', 'rest']","algorithms, python, ml algorithms, data structures, software engineering, continuous integration, kubernetes, rest"
Data Scientist,Data Scientist @ Corporate Office,HERITAGE FOODS LIMITED,Hyderabad,3-6 Yrs,,"Power Bi, Data Science, Time Series Analysis, Optimization Techniques, Dashboarding, Machine Learning, Python, SQL",1 week ago,3.0,6.0,4.5,,,,"['power bi', 'data science', 'time series analysis', 'optimization techniques', 'dashboarding', 'machine learning', 'python', 'sql']","power bi, data science, time series analysis, optimization techniques, dashboarding, machine learning, python, sql"
Data Scientist,Data Scientist,Infocredit Services,Hyderabad,2-3 Yrs,,"Computer science, Data analysis, Analytical, Formulation, Debugging, Machine learning, Data quality, Analytics",6 days ago,2.0,3.0,2.5,,,,"['computer science', 'data analysis', 'analytical', 'formulation', 'debugging', 'machine learning', 'data quality', 'analytics']","computer science, data analysis, analytical, formulation, debugging, machine learning, data quality, analytics"
Data Scientist,BD&I Data Scientist,Globallogic,"Pune, Delhi / NCR",5-10 Yrs,,"snowflake, advanced analytics, python, data analysis, airflow, presentation skills, microsoft azure, interpersonal skills",1 week ago,5.0,10.0,7.5,,,,"['snowflake', 'advanced analytics', 'python', 'data analysis', 'airflow', 'presentation skills', 'azure', 'interpersonal skills']","snowflake, advanced analytics, python, data analysis, airflow, presentation skills, azure, interpersonal skills"
Data Scientist,Data Scientists,Taskus,"Hyderabad, Chennai, Gurugram",5-10 Yrs,,"python, tensorflow, rnn, pytorch, keras, deep learning frameworks, cnn, project management",1 week ago,5.0,10.0,7.5,,,,"['python', 'tensorflow', 'rnn', 'pytorch', 'keras', 'deep learning frameworks', 'cnn', 'project management']","python, tensorflow, rnn, pytorch, keras, deep learning frameworks, cnn, project management"
